NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
14035,103,38.7,103,70859.0,0,6,
14036,5092,45.7,4905,61250.0,16,512,778.0
14037,912,49.4,870,69063.0,0,82,523.0
14039,108,32.3,108,63125.0,0,11,533.0
14040,2117,43.5,2056,54458.0,13,100,841.0
14041,179,35.1,170,50795.0,0,9,
14042,3960,39.0,3864,37679.0,2,199,618.0
14043,24004,42.9,22674,54020.0,380,2757,761.0
14047,6390,42.3,6149,62442.0,80,573,759.0
14048,14349,41.1,9416,37480.0,342,809,639.0
14051,20108,45.1,17456,110506.0,711,3839,1475.0
14052,16524,45.2,15881,73908.0,68,2841,730.0
14054,1288,44.7,1159,55972.0,13,110,715.0
14055,1536,46.0,1485,63315.0,5,109,558.0
14057,8154,48.1,8012,63359.0,63,1150,575.0
14058,2036,41.2,1676,66667.0,62,193,679.0
14059,10087,50.5,9989,80025.0,89,1518,738.0
14060,349,51.0,316,50870.0,0,12,910.0
14061,307,38.8,268,58125.0,1,23,825.0
14062,3073,48.2,2831,50761.0,25,147,608.0
14063,14538,30.6,12742,51297.0,310,1508,694.0
14065,1725,43.3,1721,44861.0,0,71,625.0
14066,1101,45.7,1081,51400.0,2,76,694.0
14067,5691,39.1,5340,52113.0,54,284,639.0
14068,7141,51.1,6042,69857.0,398,944,1008.0
14069,842,53.8,841,41176.0,14,110,408.0
14070,6356,41.4,4701,41014.0,182,389,619.0
14072,20735,41.7,18948,79778.0,599,3068,919.0
14075,43112,44.4,41197,67538.0,302,6248,797.0
14080,4249,47.2,4157,63211.0,0,378,540.0
14081,3154,45.7,1756,54265.0,4,264,698.0
14082,428,51.8,428,55625.0,0,48,689.0
14085,7308,39.9,7117,89395.0,101,984,777.0
14086,32875,42.3,31208,77420.0,336,4626,719.0
14091,916,39.1,690,60046.0,9,63,583.0
14092,11399,51.3,10276,63355.0,364,1757,819.0
14094,49463,42.3,44081,52618.0,529,5050,632.0
14098,2876,43.1,2707,53343.0,52,180,810.0
14101,2181,44.7,2161,53424.0,30,82,733.0
14102,1290,40.1,1290,85050.0,16,106,
14103,10601,41.3,9159,46345.0,162,814,653.0
14105,4303,44.0,4187,58254.0,19,273,663.0
14108,5756,43.2,5649,52394.0,36,536,640.0
14109,1174,19.4,965,,19,8,
14111,3738,40.9,3461,55000.0,70,308,648.0
14113,560,43.2,550,45714.0,18,37,593.0
14120,44864,42.9,41918,57492.0,526,5211,666.0
14125,3798,40.0,3601,52723.0,20,264,587.0
14126,510,49.5,510,58056.0,0,74,587.0
